book_id,title,author,isbn,publisher,year,edition,department,subject,copies_total,copies_available,shelf_location,language,description,tags
B024,Linear Algebra and Its Applications,David C. Lay,9780321982384,Pearson,2016,5th,Mathematics,Linear Algebra,6,4,MATH-B1,English,Accessible linear algebra with strong geometric intuition and applications,linear algebra;matrices;vectors;lay
B025,Probability and Statistics for Engineering,Jay L. Devore,9781305251809,Cengage,2015,9th,Mathematics,Probability & Statistics,5,2,MATH-C1,English,Applications-oriented probability and statistics for engineers,probability;statistics;distributions;devore
B026,Discrete Mathematics and Its Applications,Kenneth H. Rosen,9781260091991,McGraw-Hill,2018,8th,Computer Science,Discrete Mathematics,5,3,CS-G1,English,Comprehensive discrete mathematics with CS applications,discrete mathematics;logic;graphs;combinatorics;rosen
B027,Python Crash Course,Eric Matthes,9781718502703,No Starch Press,2023,3rd,Computer Science,Programming,6,5,CS-H1,English,Hands-on introduction to programming with Python,python;programming;beginner;matthes
B028,Clean Code,Robert C. Martin,9780132350884,Prentice Hall,2008,1st,Computer Science,Software Engineering,4,3,CS-F2,English,Principles practices and patterns for writing clean maintainable code,clean code;software engineering;refactoring;martin
B029,The Pragmatic Programmer,David Thomas,9780135957059,Addison-Wesley,2019,2nd,Computer Science,Software Engineering,3,2,CS-F3,English,From journeyman to master - practical software development wisdom,pragmatic programmer;software engineering;best practices
B030,Computer Vision: Algorithms and Applications,Richard Szeliski,9783030343712,Springer,2022,2nd,Computer Science,Computer Vision,3,1,CS-D4,English,Comprehensive computer vision textbook with modern deep learning approaches,computer vision;image processing;deep learning;szeliski
B031,Compiler Design,Alfred V. Aho,9780321486813,Pearson,2006,2nd,Computer Science,Compiler Design,3,2,CS-I1,English,Dragon book - definitive reference for compiler construction,compiler;lexer;parser;code generation;dragon book
B032,Theory of Computation,Michael Sipser,9781337790857,Cengage,2012,3rd,Computer Science,Theory of Computation,4,3,CS-J1,English,Accessible introduction to automata computability and complexity,automata;computability;complexity;turing machine;sipser
B033,अभिव्यक्ति और माध्यम (Hindi - Class 11),NCERT,9788174507617,NCERT,2021,1st,Languages,Hindi Literature,5,4,LANG-A1,Hindi,Class 11 Hindi textbook covering prose poetry and grammar,hindi;literature;ncert;poetry;prose
B034,संचार माध्यम (Media Studies),Dr. Vasudha Sharma,9789350640285,Rajkamal Prakashan,2020,2nd,Languages,Media Studies,3,2,LANG-A2,Hindi,Introduction to media studies and communication in Hindi,hindi;media;communication;journalism
B035,Data Science from Scratch,Joel Grus,9781492041139,O'Reilly,2019,2nd,Computer Science,Data Science,4,2,CS-D5,English,Fundamentals of data science implemented from scratch in Python,data science;python;statistics;machine learning;grus
B036,Hands-On Machine Learning,Aurélien Géron,9781098125974,O'Reilly,2022,3rd,Computer Science,Machine Learning,4,1,CS-D6,English,Practical machine learning with Scikit-Learn Keras and TensorFlow,machine learning;scikit-learn;tensorflow;keras;geron
B037,Natural Language Processing with Python,Steven Bird,9780596516499,O'Reilly,2009,1st,Computer Science,NLP,3,2,CS-D7,English,Practical NLP using the NLTK library,NLP;natural language processing;NLTK;python;bird
B038,Reinforcement Learning,Richard Sutton,9780262039246,MIT Press,2018,2nd,Computer Science,Reinforcement Learning,2,1,CS-D8,English,Definitive introduction to reinforcement learning,reinforcement learning;Q-learning;policy gradient;sutton;barto
B039,Management Information Systems,Kenneth C. Laudon,9780135191798,Pearson,2020,16th,Management,Information Systems,5,3,MGMT-A1,English,Business perspective on information systems and digital transformation,MIS;information systems;business;management;laudon
B040,Engineering Economics,Leland Blank,9780073523439,McGraw-Hill,2012,7th,Engineering,Engineering Economics,4,3,ENG-B1,English,Economic analysis and decision making for engineers,engineering economics;cost analysis;NPV;IRR;blank
